epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3636,1.23083,3.38109,1.13486,0.94693,0.375,0.48651,0.32185,1.14511,3.40711,1.14626,4e-05,4e-05,4e-05
2,28.6198,1.17696,3.53441,1.13084,0.94198,0.375,0.5066,0.32324,1.13488,3.39332,1.14194,9.835e-05,9.835e-05,9.835e-05
3,29.8585,1.07207,2.95487,1.01105,0.66592,0.74763,0.73497,0.55597,0.98885,4.68043,1.05998,0.00015472,0.00015472,0.00015472
4,31.3172,0.88993,1.82673,1.00418,0.75084,0.8125,0.87149,0.6784,0.88954,3.86448,1.0461,0.00020911,0.00020911,0.00020911
5,33.383,0.8752,1.62305,1.03601,0.77622,0.86755,0.8931,0.68062,0.92644,3.5019,1.10405,0.00026152,0.00026152,0.00026152
6,35.1486,0.94199,1.30039,1.0035,0.926,0.875,0.91004,0.68471,0.91081,2.62264,1.06768,0.00031195,0.00031195,0.00031195
7,36.5787,0.92296,1.17346,0.9996,0.86744,0.875,0.88341,0.66142,0.96025,2.49672,1.09151,0.0003604,0.0003604,0.0003604
8,37.9551,0.84362,1.00488,0.97173,0.87428,0.875,0.86399,0.67187,0.9413,2.27647,1.08415,0.00040687,0.00040687,0.00040687
9,39.252,0.88199,0.98272,0.98958,0.75051,0.75,0.78947,0.58461,1.0091,2.58219,1.11634,0.00045136,0.00045136,0.00045136
10,40.5396,0.90169,1.04203,0.93881,0.76614,0.875,0.80545,0.595,0.9695,2.33534,1.12447,0.00049387,0.00049387,0.00049387
11,41.8764,0.90445,0.91662,1.01056,0.85245,0.5625,0.74447,0.58067,0.88656,2.66546,1.05173,0.0005344,0.0005344,0.0005344
12,43.1797,0.84751,0.92144,0.98614,0.91356,0.66186,0.76471,0.59832,0.94281,2.28279,1.05875,0.00057295,0.00057295,0.00057295
13,44.5379,0.82589,0.67885,0.98079,0.92144,0.75,0.8005,0.61391,0.91357,1.90593,1.02233,0.00060952,0.00060952,0.00060952
14,46.4803,0.90617,0.75839,0.94323,0.74451,0.75,0.73779,0.58935,0.9627,2.29296,1.03595,0.00064411,0.00064411,0.00064411
15,48.2138,0.84463,0.699,0.9592,0.86981,0.625,0.80049,0.63156,0.96516,2.0308,1.06362,0.00067672,0.00067672,0.00067672
