epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6491,1.01242,3.06981,1.00357,0.76199,0.35185,0.41614,0.2774,0.93123,2.50409,0.91761,3.334e-05,3.334e-05,3.334e-05
2,26.9274,1.04901,2.7631,1.01126,0.72609,0.32111,0.37552,0.26869,0.92978,2.53614,0.92372,8.19747e-05,8.19747e-05,8.19747e-05
3,28.274,1.0125,2.15632,0.97217,0.8679,0.9801,0.97369,0.8989,0.59243,1.6822,0.81906,0.000128959,0.000128959,0.000128959
4,29.841,0.78868,1.46202,0.9394,0.95254,0.94444,0.98093,0.8909,0.59509,1.64953,0.82109,0.000174293,0.000174293,0.000174293
5,31.3192,0.7089,1.14349,0.90041,0.92431,0.94681,0.98434,0.91356,0.58178,1.45914,0.81313,0.000217977,0.000217977,0.000217977
6,33.1109,0.76912,0.91203,0.88753,0.95368,0.98352,0.99304,0.89229,0.68853,1.53587,0.83693,0.00026001,0.00026001,0.00026001
7,35.4026,0.75794,0.9857,0.89575,0.91163,0.96763,0.98321,0.90927,0.58745,1.23867,0.82071,0.000300393,0.000300393,0.000300393
8,36.9774,0.73402,0.90876,0.87838,0.87375,0.98997,0.98393,0.90406,0.604,1.15955,0.8228,0.000339126,0.000339126,0.000339126
9,38.4424,0.71115,0.799,0.89911,0.87675,0.99866,0.99107,0.9082,0.6588,1.00917,0.84214,0.000376209,0.000376209,0.000376209
10,39.9298,0.72134,0.76422,0.87378,0.8808,0.97109,0.99375,0.86474,0.6243,1.04841,0.84011,0.000411641,0.000411641,0.000411641
11,41.3551,0.68404,0.71534,0.87138,0.5753,0.81481,0.66478,0.60391,0.56691,1.45845,0.83529,0.000445422,0.000445422,0.000445422
12,42.7941,0.67314,0.65508,0.85265,0.40543,0.96296,0.63182,0.58433,0.67835,1.6969,0.86069,0.000477554,0.000477554,0.000477554
13,44.3704,0.6657,0.61903,0.87188,0.41652,0.76287,0.60944,0.51763,0.67012,2.39996,0.86949,0.000508035,0.000508035,0.000508035
14,45.9562,0.68786,0.598,0.86261,0.71261,0.93294,0.995,0.86629,0.60813,0.97051,0.84194,0.000536866,0.000536866,0.000536866
15,48.0413,0.6788,0.62912,0.87801,0.58232,0.96793,0.84446,0.71507,0.71881,1.1087,0.86384,0.000564046,0.000564046,0.000564046
16,49.7051,0.73318,0.59994,0.88629,0.55657,0.97449,0.9811,0.83848,0.75177,1.30539,0.91303,0.000589576,0.000589576,0.000589576
17,51.0448,0.71148,0.59303,0.91206,0.5929,0.98148,0.99038,0.79747,0.64795,0.94831,0.86288,0.000613456,0.000613456,0.000613456
18,52.3942,0.69436,0.57293,0.88292,0.67547,0.95636,0.99306,0.85588,0.67698,0.93306,0.85398,0.000635685,0.000635685,0.000635685
19,53.9014,0.74624,0.60108,0.89241,0.83167,0.95236,0.995,0.86369,0.64607,0.73592,0.8382,0.000656265,0.000656265,0.000656265
20,55.3033,0.68989,0.52214,0.85095,0.71366,0.95838,0.995,0.87774,0.59138,0.79717,0.82566,0.000675193,0.000675193,0.000675193
21,56.7722,0.65556,0.51683,0.88374,0.5678,0.96452,0.995,0.91159,0.61343,0.9106,0.84009,0.000692472,0.000692472,0.000692472
22,58.2642,0.73889,0.58711,0.89369,0.86339,0.94466,0.995,0.90001,0.69179,0.59208,0.86254,0.0007081,0.0007081,0.0007081
23,60.0792,0.71537,0.53062,0.86474,0.79595,0.96743,0.99446,0.90271,0.71243,0.54711,0.86655,0.000722078,0.000722078,0.000722078
24,62.076,0.65059,0.47854,0.86076,0.69065,0.93834,0.99322,0.8803,0.69458,0.67415,0.85759,0.000734405,0.000734405,0.000734405
25,63.4877,0.67952,0.50714,0.88702,0.61284,0.94813,0.99397,0.91895,0.64301,0.7321,0.83511,0.000745082,0.000745082,0.000745082
26,64.9799,0.60302,0.47356,0.87129,0.80832,0.80712,0.99248,0.89941,0.57302,0.71445,0.82335,0.000754109,0.000754109,0.000754109
27,66.382,0.6161,0.53531,0.85839,0.8471,0.78733,0.98841,0.87428,0.58523,0.72942,0.83743,0.000761486,0.000761486,0.000761486
28,67.8959,0.63225,0.51689,0.86248,0.68987,0.77778,0.98714,0.86576,0.61868,0.82298,0.84498,0.000767212,0.000767212,0.000767212
29,69.2616,0.65933,0.52308,0.87481,0.68987,0.77778,0.98714,0.86576,0.61868,0.82298,0.84498,0.000771288,0.000771288,0.000771288
30,70.6511,0.63309,0.46712,0.87638,0.53998,0.98211,0.98714,0.83476,0.60805,0.81821,0.83108,0.000773713,0.000773713,0.000773713
31,72.1661,0.65836,0.50266,0.86831,0.8408,0.81481,0.98767,0.87817,0.56265,0.63311,0.82482,0.000774488,0.000774488,0.000774488
32,74.258,0.63643,0.48402,0.87489,0.78423,0.98148,0.98784,0.88068,0.61146,0.594,0.83783,0.000773613,0.000773613,0.000773613
33,75.8803,0.61173,0.41379,0.83864,0.78423,0.98148,0.98784,0.88068,0.61146,0.594,0.83783,0.000771088,0.000771088,0.000771088
34,77.3186,0.59655,0.43488,0.85086,0.8289,0.93595,0.97607,0.88617,0.59233,0.60359,0.83167,0.000759318,0.000759318,0.000759318
35,78.7096,0.5723,0.4249,0.85365,0.84904,0.98148,0.97411,0.88086,0.59307,0.54829,0.82099,0.000731813,0.000731813,0.000731813
36,80.1636,0.60258,0.39993,0.84972,0.85923,0.98148,0.97394,0.85785,0.67859,0.62947,0.8432,0.000704307,0.000704307,0.000704307
